title,original_title,budget,genres,language,spoken_languages,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,production_countries
Stay Prayed Up,Stay Prayed Up,0,['Documentary'],en,['English'],,"Lena Mae “Mother” Perry, the backbone of her community, cooks for crowds, tends to the needy, and boy, can she sing! After 50 years leading the dynamic, down-home gospel group The Branchettes, the octogenarian powerhouse, armed with her unwavering faith, shows no signs of slowing down. Taking us inside her loving community while following the recording of the group’s first album, this film is bursting with warmth, joy, and soul-stirring gospel music.",0.023,73,0,2021-09-01,0.0,0,['United States of America']
Benediction,Benediction,0,"['Drama', 'History', 'War']",en,"['English', 'French', 'German']",,"Poet Siegfried Sassoon survived the horrors of fighting in the First World War and was decorated for his bravery, but became a vocal critic of the government's continuation of the war when he returned from service. Adored by members of the aristocracy as well as stars of London's literary and stage world, he embarked on affairs with several men as he attempted to come to terms with his homosexuality.",11.518,137,847418,2021-12-23,6.0,58,"['United Kingdom', 'United States of America']"
Dinner in America,Dinner in America,0,"['Romance', 'Comedy', 'Music']",en,['English'],https://www.dinnerinamerica.com,An on-the-lam punk rocker and a young woman obsessed with his band go on an unexpected and epic journey together through the decaying suburbs of the American Midwest.,8.626,106,0,2022-05-27,7.384,56,['United States of America']
In a New York Minute,In a New York Minute,0,['Drama'],en,['English'],,"In A New York Minute follows three Asian women, each at a different stage in their life as they deal with their own personal struggles. Amy is haunted by a past breakup that has manifested into an eating disorder. Angel is caught between a loveless marriage with an older American businessman and a passionate affair with Chinese filmmaker. Nina moonlights as an escort as a way of supporting herself financially. As the story unfolds, the film reveals each character’s wants and desires is reflected in the other.",2.281,102,0,2019-04-28,3.2,2,[]
Anaïs in Love,Les Amours d’Anaïs,0,"['Drama', 'Romance', 'Comedy']",fr,"['French', 'English']",,A young woman struggling to stay on top of everything in her life meets a married publisher and begins an affair with him.,13.213,98,41356,2021-09-15,6.2,139,['France']
I Love America,I Love America,0,"['Comedy', 'Romance']",fr,"['French', 'English', 'Spanish']",,"A single woman who decides to take a chance on love again by catapulting her life from Paris to Los Angeles. From awkward dates to touching surprise encounters, she understands the journey to love is a journey towards herself.",14.853,102,0,2022-03-11,5.1,74,"['United States of America', 'France']"
See You Then,See You Then,0,['Drama'],en,['English'],https://vanishingangle.com/see-you-then,"A decade after abruptly breaking up with Naomi, Kris invites her to a dinner to catch-up on their complicated lives, relationships, and Kris' transition.",5.322,74,0,2022-04-01,3.3,5,['United States of America']
La Mami,La Mami,0,['Documentary'],es,['Spanish'],http://gadeafilms.com/la-mami,"One of the rooms inside the legendary Barba Azul Cabaret has become a shelter for the girls working there: the women's bathroom. Every night La Mami, who's in charge of the bathrooms, offers them the warmth and the advice they need to take on the challenge they face in the dance hall.",1.61,82,0,2020-01-27,6.2,4,"['Mexico', 'Spain']"
After Love,L'économie du couple,0,['Drama'],fr,['French'],,Marie and Boris decide to get a divorce after 15 years of marriage. Tensions rise when cash-strapped Boris must continue to live with Marie and the two children while trying to figure out how to divide the assets.,12.512,98,0,2016-06-08,6.1,115,"['Belgium', 'France']"
Deep Water,Deep Water,49000000,"['Drama', 'Mystery', 'Thriller']",en,['English'],https://www.hulu.com/movie/deep-water-2c4ae82e-2c1b-41d5-a651-82189d1c8b2c,"Vic and Melinda Van Allen are a couple in the small town of Little Wesley. Their loveless marriage is held together only by a precarious arrangement whereby, in order to avoid the messiness of divorce, Melinda is allowed to take any number of lovers as long as she does not desert her family.",88.777,116,0,2022-03-18,5.795,1295,['United States of America']
Lucy and Desi,Lucy and Desi,0,['Documentary'],en,['English'],https://www.amazon.com/dp/B09QG6H8D9,Explore the unlikely partnership and enduring legacy of one of the most prolific power couples in entertainment history. Lucille Ball and Desi Arnaz risked everything to be together.,13.948,102,0,2022-01-21,7.1,37,['United States of America']
Cyrano,Cyrano,20000000,"['Drama', 'Romance']",en,['English'],https://www.unitedartistsreleasing.com/cyrano/synopsis/,"A man ahead of his time, Cyrano de Bergerac dazzles whether with ferocious wordplay at a verbal joust or with brilliant swordplay in a duel. But, convinced that his appearance renders him unworthy of the love of a devoted friend, the luminous Roxanne, Cyrano has yet to declare his feelings for her—and Roxanne has fallen in love, at first sight, with Christian.",14.74,124,3000000,2021-12-17,6.41,279,"['Canada', 'United Kingdom', 'United States of America']"
